"state","SquirrelPopulationNumberOfMajorSquirrelSpecies","SquirrelPopulationSpeciesNames"
"Alabama",3,"Eastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nSouthern Flying Squirrel (Glaucomys volans)"
"Alaska",3,"American Red Squirrel (Tamiasciurus hudsonicus), \nArctic Ground Squirrel (Urocitellus parryii), \nNorthern Flying Squirrel (Glaucomys sabrinus)"
"Arizona",5,"Abert’s Squirrel (Sciurus aberti), \nAmerican Red Squirrel (Tamiasciurus hudsonicus), \nArizona Gray Squirrel (Sciurus arizonensis), \nHarris's Antelope Squirrel (Ammospermophilus harrisii), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"Arkansas",3,"Eastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nSouthern Flying Squirrel (Glaucomys volans)"
"California",6,"California Ground Squirrel (Spermophilus beecheyi), \nDouglas Squirrel (Tamiasciurus douglasii), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nHumboldt’s Flying Squirrel (Glaucomys oregonensis), \nWestern Gray Squirrel (Sciurus griseus)"
"Colorado",5,"Abert’s Squirrel (Sciurus aberti), \nAmerican Red Squirrel (Tamiasciurus hudsonicus), \nFox Squirrel (Sciurus niger), \nLeast chipmunk (Tamias minimus), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"Connecticut",4,"American Red Squirrel (Tamiasciurus hudsonicus),\nEastern Gray Squirrel (Sciurus carolinensis), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nSouthern Flying Squirrel (Glaucomys volans)"
"Delaware",4,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nSouthern Flying Squirrel (Glaucomys volans)"
"Florida",3,"Eastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nSouthern Flying Squirrel (Glaucomys volans)"
"Georgia",4,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis),  \nFox Squirrel (Sciurus niger), \nSouthern Flying Squirrel (Glaucomys volans)"
"Hawaii",0,
"Idaho",3,"American Red Squirrel (Tamiasciurus hudsonicus), \nFox Squirrel (Sciurus niger), \nNorthern Flying Squirrel (Glaucomys sabrinus)"
"Illinois",5,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nSouthern Flying Squirrel (Glaucomys volans), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"Indiana",5,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nSouthern Flying Squirrel (Glaucomys volans), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"Iowa",5,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nSouthern Flying Squirrel (Glaucomys volans), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"Kansas",5,"Eastern Gray Squirrel (Sciurus carolinensis),  \nFox Squirrel (Sciurus niger), \nLeast chipmunk (Tamias minimus), \nSouthern Flying Squirrel (Glaucomys volans), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"Kentucky",3,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger)"
"Louisiana",3,"Eastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nSouthern Flying Squirrel (Glaucomys volans)"
"Maine",4,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nSouthern Flying Squirrel (Glaucomys volans)"
"Maryland",4,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nSouthern Flying Squirrel (Glaucomys volans)"
"Massachusetts",4,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nNorthern Flying Squirrel (Glaucomys sabrinus),  \nSouthern Flying Squirrel (Glaucomys volans)"
"Michigan",7,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nLeast chipmunk (Tamias minimus), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nSouthern Flying Squirrel (Glaucomys volans), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
